,Country,FormalEducationPercent,CO2,EnergyUse,GDP,Inequality,LifeExpectancy,SolarAndWindElectricity,GreenhouseGasEmissions,SchoolingYears
49,Central African Republic,0.2741379310344827,0.0011496414776897906,0.0012613394381057312,0.0,0.9648888117994692,0.42038605310131194,0.0,0.006284988951578853,0.046164061963492105
50,Central Asia (WID),,,,,0.7087429774372375,,,,
51,Chad,,0.00395491504832147,0.0015920869538614594,0.005365451916021486,0.6115002844316089,0.373590221802435,0.00014802953881511545,0.002392677118255807,0.0588233330890872
52,Chile,0.9844827586206896,0.09243017005547821,0.11319917075626877,0.14904505589601766,0.9215628004360197,0.8958284973305266,0.3545841307903909,0.06910478921536659,0.678898067120718
53,China,0.9793103448275862,0.19598980957343445,0.14664832778085524,0.12547078921913749,0.5869628691370027,0.8315169973825551,0.27051858867481987,0.1355102444833294,0.6659438150717755
54,China (rural),,,,,0.46570115693454106,,,,
55,China (urban),,,,,0.3218183400124456,,,,
56,Christmas Island,,,,,,,,,
57,Colombia,0.9568965517241379,0.04743247675668701,0.05302278630513534,0.09337100739690457,0.9281664107273433,0.8269484755585083,0.0062963549380246325,0.03727080966985046,0.604863587538983
58,Comoros,,0.012362965374503952,0.007202118373184894,0.008776764488132933,0.7134233922054153,0.6078715450928912,0.0,0.0097353895582545,0.27556765631848795
59,Congo,0.6775862068965517,0.02950100883551544,0.010350609303177296,0.024170424635572417,0.8109619579838614,0.5877644459741779,0.0,0.05209348252961431,0.2902494530954876
60,Cook Islands,,0.10031532741682236,0.12758911861819514,,,0.7780654921516679,0.3080758317712139,0.0770928112783916,
61,Costa Rica,0.9706896551724138,0.03728855512799915,0.05271201827693528,0.10028911581234916,0.9409216547122442,0.8884804412035443,0.07751660394139462,0.02858893116363029,0.6398552376027592
62,Cote d'Ivoire,0.496551724137931,,0.010450169069409841,0.02298721659352042,0.7604651380986731,0.5111581593039358,0.00018632971236450882,0.007889102690035076,0.2456058043436261
63,Croatia,0.989655172413793,0.10262550299749085,0.11124734546523425,0.1776234848894244,0.3495257564448684,0.8440719277040926,0.17736511880197137,0.07324338207692035,0.7768289430062688
64,Cuba,0.9672413793103447,0.04843682845439187,0.040686062179349794,0.04746642727914468,0.6289700529279265,0.8341704620950764,0.00678579177483442,0.036321895430408487,
65,Curacao,,,,,,0.8084382579183709,,,
66,Curaçao,,0.24730076519753635,,,,,,,
67,Cyprus,0.9982758620689653,0.1336506812069442,0.11227775062788833,0.2081585994203846,0.3302937112140889,0.9054598138172271,0.21444222169459243,0.09943557092241354,0.8212276825454674
68,Czechia,0.9982758620689653,0.19152099267123515,0.17782540494356433,0.21303087523296446,0.23276014039804319,0.8691617773010704,0.09424099359979222,0.12833750039142824,0.8400301708690763
69,Czechoslovakia,,,0.21828400169523457,0.20221826167099485,,,,,
70,Côte d'Ivoire,,0.010728813350827891,,,,,,,
71,Democratic Republic of Congo,0.4724137931034482,,0.001811291330931075,0.0016677063567955511,0.6729899365682527,0.5101816202543805,2.6498008314104724e-05,0.002283576046526594,0.21927216681514386
72,Democratic Republic of the Congo,,0.0010596364661431383,,,,,,,
73,Denmark,0.9448275862068966,0.10828342366856672,0.1458173824671588,0.33715889224948015,0.449775101817921,0.9111589597457797,1.0,0.07537528273310574,0.8383618052274375
74,Djibouti,,0.010174345857943076,0.01227727806405409,0.020371348242245017,0.667363763919267,0.59205681536208,0.0,0.011610808641197352,
75,Dominica,,0.05240829372001652,0.04649716466107695,0.05575142707490401,,0.6950336585795358,0.0,0.04040549251290891,0.5470430651406653
76,Dominican Republic,0.9275862068965517,0.06632653348679414,0.044027710049995665,0.11520888173726088,0.7089677507452562,0.7468142414612867,0.04392552723990876,0.04561499683656481,0.4103061892179305
77,East Africa (WID),,,,,0.7573934612207206,,,,
78,East Asia (MPD),,,,0.14223232207132525,,,,,
79,East Asia (WID),,,,,0.6108280794916316,,,,
80,East Germany,,,0.41775445248145826,,0.0,,,,
81,East Timor,,,0.007121509651014254,,0.6393820745514339,0.6261336257614204,0.0,0.010572189089199048,0.38524563271164214
82,Eastern Europe (MPD),,,,0.13501538757768594,,,,,
83,Eastern Europe (WID),,,,,0.41988754179652915,,,,
84,Ecuador,0.9517241379310343,0.055716177435983054,0.05678214622094846,0.06412721620731743,0.6886077890048682,0.8203008060449367,0.0015865052032023339,0.04286937467696678,0.611871175774275
85,Egypt,0.6431034482758621,0.056025912992150644,0.04277611239190213,0.08486647832551485,0.6007991399844739,0.7050591926743562,0.022833598532897646,0.03937128858367193,0.4075560351562051
86,El Salvador,0.9706896551724138,0.030355234803214864,0.031194648426172877,0.05803485393817039,0.6680574336976678,0.7143803379465465,0.04575320305541382,0.02026182932086473,0.5120104601698633
87,England and Wales,,,,,,0.6417542483450865,,,
88,Equatorial Guinea,,0.08408123100187644,0.054659320708884546,0.14881958011738972,0.7238509387120589,0.5464436368875619,0.0,0.09125152112241047,
89,Eritrea,,0.003887211748034421,0.004031318639125482,,0.5623874291286272,0.6448339483394835,0.0007121455716045383,0.005901696110934437,
